line_code	Envs	Value	Traits
Line4	A	56.36	CW
Line4	B	29.58	CW
Line4	C	37.46	CW
Line4	D	25.86	CW
Line18	A	66.48	CW
Line18	B	35.08	CW
Line18	C	27.6	CW
Line18	D	23.68	CW
Line19	A	69.34	CW
Line19	B	NA	CW
Line19	C	30.46	CW
Line19	D	33.2	CW
Line25	A	61.04	CW
Line25	B	37.2	CW
Line25	C	37.76	CW
Line25	D	33.84	CW
Line28	A	59.44	CW
Line28	B	27.78	CW
Line28	C	28.18	CW
Line28	D	27.18	CW
Line33	A	61.98	CW
Line33	B	35.56	CW
Line33	C	31.2	CW
Line33	D	24.68	CW
Line34	A	65.36	CW
Line34	B	34.72	CW
Line34	C	31.53	CW
Line34	D	39.16	CW
Line38	A	50.25	CW
Line38	B	39.82	CW
Line38	C	32.9	CW
Line38	D	35.36	CW
Line42	A	40.48	CW
Line42	B	31.02	CW
Line42	C	32.22	CW
Line42	D	35.62	CW
Line43	A	58.34	CW
Line43	B	22.9	CW
Line43	C	22.92	CW
Line43	D	28.9	CW
Line45	A	54.78	CW
Line45	B	30.5	CW
Line45	C	31.22	CW
Line45	D	26.18	CW
Line53	A	123.82	CW
Line53	B	62.26	CW
Line53	C	33.44	CW
Line53	D	47.13	CW
Line54	A	68.6	CW
Line54	B	16.78	CW
Line54	C	22.58	CW
Line54	D	29.32	CW
Line56	A	46.18	CW
Line56	B	23.18	CW
Line56	C	21.22	CW
Line56	D	20.6	CW
Line57	A	91.9	CW
Line57	B	55.53	CW
Line57	C	44.38	CW
Line57	D	42.3	CW
Line60	A	49.32	CW
Line60	B	22.4	CW
Line60	C	24.76	CW
Line60	D	29.82	CW
Line61	A	48.82	CW
Line61	B	18.87	CW
Line61	C	20.34	CW
Line61	D	31.42	CW
Line63	A	37.12	CW
Line63	B	NA	CW
Line63	C	21.16	CW
Line63	D	22.2	CW
Line67	A	59.66	CW
Line67	B	41.16	CW
Line67	C	40.24	CW
Line67	D	35.6	CW
Line68	A	79.38	CW
Line68	B	29.83	CW
Line68	C	32.38	CW
Line68	D	30.58	CW
Line76	A	45.82	CW
Line76	B	18.88	CW
Line76	C	30.78	CW
Line76	D	26.68	CW
Line77	A	52.44	CW
Line77	B	27.42	CW
Line77	C	33.45	CW
Line77	D	37.24	CW
Line79	A	NA	CW
Line79	B	NA	CW
Line79	C	NA	CW
Line79	D	NA	CW
Line80	A	60.68	CW
Line80	B	21.13	CW
Line80	C	26.82	CW
Line80	D	30.94	CW
Line81	A	39.32	CW
Line81	B	35.04	CW
Line81	C	29.64	CW
Line81	D	35.22	CW
Line82	A	67.02	CW
Line82	B	28.02	CW
Line82	C	32.18	CW
Line82	D	32.34	CW
Line83	A	61.1	CW
Line83	B	19.12	CW
Line83	C	22.52	CW
Line83	D	25.64	CW
Line84	A	61.26	CW
Line84	B	33.8	CW
Line84	C	32.76	CW
Line84	D	32.76	CW
Line85	A	54.96	CW
Line85	B	30.24	CW
Line85	C	29.96	CW
Line85	D	32.43	CW
Line88	A	68.44	CW
Line88	B	29	CW
Line88	C	36.22	CW
Line88	D	37.68	CW
Line89	A	35.48	CW
Line89	B	28.38	CW
Line89	C	23.45	CW
Line89	D	23.3	CW
Line102	A	69.3	CW
Line102	B	36.5	CW
Line102	C	33.3	CW
Line102	D	36.42	CW
Line103	A	57.92	CW
Line103	B	36.75	CW
Line103	C	33.78	CW
Line103	D	42.22	CW
Line106	A	53.36	CW
Line106	B	29.32	CW
Line106	C	30.74	CW
Line106	D	29.03	CW
Line108	A	67.74	CW
Line108	B	38.74	CW
Line108	C	31.86	CW
Line108	D	33.44	CW
Line109	A	43.22	CW
Line109	B	27.02	CW
Line109	C	27.66	CW
Line109	D	29.16	CW
Line110	A	69.63	CW
Line110	B	25.58	CW
Line110	C	25.93	CW
Line110	D	29.78	CW
Line111	A	63.18	CW
Line111	B	27.9	CW
Line111	C	25.36	CW
Line111	D	22.58	CW
Line112	A	65.44	CW
Line112	B	28.8	CW
Line112	C	32.8	CW
Line112	D	31.8	CW
Line113	A	46.06	CW
Line113	B	22.18	CW
Line113	C	28.94	CW
Line113	D	26.48	CW
Line114	A	48.18	CW
Line114	B	29.9	CW
Line114	C	26.94	CW
Line114	D	28.36	CW
Line118	A	56.66	CW
Line118	B	22.73	CW
Line118	C	24.1	CW
Line118	D	28.96	CW
Line122	A	108.66	CW
Line122	B	45.82	CW
Line122	C	38.44	CW
Line122	D	43.95	CW
Line123	A	80.06	CW
Line123	B	45.8	CW
Line123	C	47.26	CW
Line123	D	33.72	CW
Line124	A	99.08	CW
Line124	B	48.96	CW
Line124	C	41.74	CW
Line124	D	50.7	CW
Line129	A	46.38	CW
Line129	B	30.56	CW
Line129	C	25.88	CW
Line129	D	28.84	CW
Line131	A	29.96	CW
Line131	B	25.36	CW
Line131	C	31.42	CW
Line131	D	29.84	CW
Line134	A	41.44	CW
Line134	B	29.55	CW
Line134	C	31	CW
Line134	D	34.42	CW
Line135	A	50.6	CW
Line135	B	14.96	CW
Line135	C	28.64	CW
Line135	D	20	CW
Line137	A	38.42	CW
Line137	B	11.76	CW
Line137	C	23.08	CW
Line137	D	22	CW
Line138	A	49.54	CW
Line138	B	18.62	CW
Line138	C	20.94	CW
Line138	D	23.36	CW
Line142	A	58.42	CW
Line142	B	28.74	CW
Line142	C	31.2	CW
Line142	D	23.66	CW
Line144	A	56.7	CW
Line144	B	28.73	CW
Line144	C	29.52	CW
Line144	D	34.76	CW
Line147	A	39.28	CW
Line147	B	18.57	CW
Line147	C	16.98	CW
Line147	D	17.5	CW
Line151	A	46.92	CW
Line151	B	19.2	CW
Line151	C	26.62	CW
Line151	D	22.12	CW
Line152	A	61.52	CW
Line152	B	26.02	CW
Line152	C	30.94	CW
Line152	D	38.58	CW
Line156	A	62.48	CW
Line156	B	29.52	CW
Line156	C	29.16	CW
Line156	D	30.62	CW
Line166	A	41.68	CW
Line166	B	26.18	CW
Line166	C	24.8	CW
Line166	D	25	CW
Line167	A	48.46	CW
Line167	B	22.9	CW
Line167	C	23.06	CW
Line167	D	26.58	CW
Line170	A	104.4	CW
Line170	B	32.78	CW
Line170	C	32.84	CW
Line170	D	37.44	CW
Line171	A	65.62	CW
Line171	B	33.66	CW
Line171	C	24.74	CW
Line171	D	29.36	CW
Line176	A	7.7	CW
Line176	B	31.08	CW
Line176	C	37.42	CW
Line176	D	31.04	CW
Line179	A	50.52	CW
Line179	B	25.58	CW
Line179	C	23.9	CW
Line179	D	29.7	CW
Line186	A	62.96	CW
Line186	B	35.26	CW
Line186	C	33.22	CW
Line186	D	39.84	CW
Line191	A	56.34	CW
Line191	B	19.08	CW
Line191	C	21.64	CW
Line191	D	32.28	CW
Line194	A	47.22	CW
Line194	B	21.98	CW
Line194	C	24.36	CW
Line194	D	27.54	CW
Line195	A	61.34	CW
Line195	B	25.28	CW
Line195	C	32	CW
Line195	D	21.1	CW
Line203	A	69.64	CW
Line203	B	35.66	CW
Line203	C	32	CW
Line203	D	33.1	CW
Line204	A	59.48	CW
Line204	B	34.2	CW
Line204	C	32.3	CW
Line204	D	32.34	CW
Line205	A	56.4	CW
Line205	B	36.96	CW
Line205	C	30.46	CW
Line205	D	34.24	CW
Line206	A	75.74	CW
Line206	B	39.12	CW
Line206	C	34.2	CW
Line206	D	36.98	CW
Line208	A	90.66	CW
Line208	B	23.94	CW
Line208	C	44.68	CW
Line208	D	49.3	CW
Line209	A	57.82	CW
Line209	B	29.7	CW
Line209	C	23.86	CW
Line209	D	27.78	CW
Line211	A	55.02	CW
Line211	B	27.62	CW
Line211	C	40.38	CW
Line211	D	34.26	CW
Line212	A	80.08	CW
Line212	B	32.64	CW
Line212	C	27.04	CW
Line212	D	34.03	CW
Line222	A	37.62	CW
Line222	B	29.66	CW
Line222	C	22.48	CW
Line222	D	25.63	CW
Line223	A	60.88	CW
Line223	B	15.5	CW
Line223	C	23.58	CW
Line223	D	14.8	CW
Line231	A	58.6	CW
Line231	B	24.02	CW
Line231	C	27.12	CW
Line231	D	33.7	CW
Line232	A	46.22	CW
Line232	B	28.7	CW
Line232	C	26.32	CW
Line232	D	28.26	CW
Line233	A	78.9	CW
Line233	B	38.9	CW
Line233	C	32.72	CW
Line233	D	34.93	CW
Line238	A	71.2	CW
Line238	B	30.88	CW
Line238	C	32.8	CW
Line238	D	27.64	CW
Line241	A	50.38	CW
Line241	B	37.24	CW
Line241	C	42.4	CW
Line241	D	27.85	CW
Line245	A	50.62	CW
Line245	B	30.72	CW
Line245	C	32.3	CW
Line245	D	25.68	CW
Line250	A	56.26	CW
Line250	B	32.58	CW
Line250	C	36.48	CW
Line250	D	35.08	CW
Line254	A	68.3	CW
Line254	B	31.25	CW
Line254	C	40.3	CW
Line254	D	38.34	CW
Line256	A	71.1	CW
Line256	B	23.56	CW
Line256	C	39.62	CW
Line256	D	41.94	CW
Line257	A	41.12	CW
Line257	B	26.08	CW
Line257	C	25.34	CW
Line257	D	37.75	CW
Line259	A	47.02	CW
Line259	B	23.92	CW
Line259	C	22.82	CW
Line259	D	24.34	CW
Line265	A	48.22	CW
Line265	B	33.88	CW
Line265	C	17.03	CW
Line265	D	24.3	CW
Line267	A	49.04	CW
Line267	B	29.46	CW
Line267	C	25.9	CW
Line267	D	25.38	CW
Line268	A	46.7	CW
Line268	B	24.06	CW
Line268	C	34.5	CW
Line268	D	26.48	CW
Line271	A	79.32	CW
Line271	B	44.6	CW
Line271	C	41.18	CW
Line271	D	24	CW
Line272	A	58.64	CW
Line272	B	27.6	CW
Line272	C	26.78	CW
Line272	D	29.98	CW
Line273	A	71.38	CW
Line273	B	41.3	CW
Line273	C	30.32	CW
Line273	D	39.84	CW
Line275	A	48.24	CW
Line275	B	15.64	CW
Line275	C	22.7	CW
Line275	D	27.2	CW
Line277	A	47.36	CW
Line277	B	22.66	CW
Line277	C	20.2	CW
Line277	D	19.02	CW
Line278	A	71.34	CW
Line278	B	24.12	CW
Line278	C	29.16	CW
Line278	D	25.58	CW
Line280	A	58.12	CW
Line280	B	25	CW
Line280	C	26.58	CW
Line280	D	28.63	CW
Line281	A	67.82	CW
Line281	B	31.73	CW
Line281	C	24.42	CW
Line281	D	26	CW
Line284	A	47.08	CW
Line284	B	34.8	CW
Line284	C	29.92	CW
Line284	D	33.52	CW
Line287	A	48.6	CW
Line287	B	25.4	CW
Line287	C	29.92	CW
Line287	D	27.22	CW
Line291	A	56.54	CW
Line291	B	24.84	CW
Line291	C	24.7	CW
Line291	D	28.82	CW
Line294	A	74.8	CW
Line294	B	22.33	CW
Line294	C	28.26	CW
Line294	D	29.44	CW
Line298	A	49.46	CW
Line298	B	42.12	CW
Line298	C	28.64	CW
Line298	D	31.14	CW
Line300	A	106.98	CW
Line300	B	25.02	CW
Line300	C	29.75	CW
Line300	D	30.84	CW
Line302	A	38.8	CW
Line302	B	39.02	CW
Line302	C	30.88	CW
Line302	D	NA	CW
Line303	A	56.58	CW
Line303	B	26.9	CW
Line303	C	24.74	CW
Line303	D	31.62	CW
Line304	A	36.64	CW
Line304	B	29.14	CW
Line304	C	23.52	CW
Line304	D	26.44	CW
Line306	A	65.62	CW
Line306	B	30.62	CW
Line306	C	35.64	CW
Line306	D	38.02	CW
Line312	A	43.06	CW
Line312	B	24.16	CW
Line312	C	32.34	CW
Line312	D	28.88	CW
Line314	A	NA	CW
Line314	B	NA	CW
Line314	C	NA	CW
Line314	D	NA	CW
Line316	A	77.88	CW
Line316	B	30.93	CW
Line316	C	37.26	CW
Line316	D	30.18	CW
Line317	A	90.68	CW
Line317	B	41.58	CW
Line317	C	32.66	CW
Line317	D	45.93	CW
Line321	A	76.4	CW
Line321	B	23.54	CW
Line321	C	35.4	CW
Line321	D	38.66	CW
Line324	A	38.98	CW
Line324	B	34.96	CW
Line324	C	26.8	CW
Line324	D	26.14	CW
Line325	A	43.64	CW
Line325	B	21.82	CW
Line325	C	21.14	CW
Line325	D	20.02	CW
Line327	A	51.7	CW
Line327	B	26.7	CW
Line327	C	24.08	CW
Line327	D	26.4	CW
Line330	A	91.2	CW
Line330	B	38.36	CW
Line330	C	36.64	CW
Line330	D	27.62	CW
Line337	A	57.36	CW
Line337	B	38.28	CW
Line337	C	28.3	CW
Line337	D	31.66	CW
Line338	A	61.68	CW
Line338	B	33.26	CW
Line338	C	35.26	CW
Line338	D	34.22	CW
Line339	A	49.78	CW
Line339	B	30.28	CW
Line339	C	38.56	CW
Line339	D	33.72	CW
Line341	A	58.76	CW
Line341	B	23.2	CW
Line341	C	30.54	CW
Line341	D	33.56	CW
Line342	A	54.56	CW
Line342	B	24.22	CW
Line342	C	31.36	CW
Line342	D	28.36	CW
Line343	A	48.62	CW
Line343	B	21.86	CW
Line343	C	31.32	CW
Line343	D	39.84	CW
Line348	A	88.96	CW
Line348	B	33.76	CW
Line348	C	24.5	CW
Line348	D	36.27	CW
Line349	A	73.08	CW
Line349	B	16.18	CW
Line349	C	29.38	CW
Line349	D	33.42	CW
Line350	A	59.58	CW
Line350	B	26.04	CW
Line350	C	31.02	CW
Line350	D	26.06	CW
Line352	A	65.08	CW
Line352	B	20.28	CW
Line352	C	31.02	CW
Line352	D	28.03	CW
Line358	A	61.88	CW
Line358	B	28.06	CW
Line358	C	41.6	CW
Line358	D	39.73	CW
Line361	A	87.4	CW
Line361	B	52.72	CW
Line361	C	39.56	CW
Line361	D	34.67	CW
Line366	A	61.12	CW
Line366	B	35.76	CW
Line366	C	31.68	CW
Line366	D	27.63	CW
Line368	A	42.26	CW
Line368	B	20.46	CW
Line368	C	29.48	CW
Line368	D	30.96	CW
Line369	A	53.12	CW
Line369	B	29.04	CW
Line369	C	27.46	CW
Line369	D	32.28	CW
Line380	A	81.26	CW
Line380	B	19.46	CW
Line380	C	27.82	CW
Line380	D	35.8	CW
Line382	A	68.66	CW
Line382	B	21.58	CW
Line382	C	20.86	CW
Line382	D	25.98	CW
Line384	A	76.26	CW
Line384	B	37.72	CW
Line384	C	32.16	CW
Line384	D	30.72	CW
Line385	A	46.92	CW
Line385	B	32.8	CW
Line385	C	23.48	CW
Line385	D	24.06	CW
Line386	A	76.22	CW
Line386	B	32.56	CW
Line386	C	30.26	CW
Line386	D	37.6	CW
Line389	A	63.18	CW
Line389	B	20.94	CW
Line389	C	28.48	CW
Line389	D	27.76	CW
Line393	A	54.74	CW
Line393	B	25.02	CW
Line393	C	22.92	CW
Line393	D	25.94	CW
Line408	A	53.3	CW
Line408	B	34.18	CW
Line408	C	30.82	CW
Line408	D	31.88	CW
Line414	A	74.76	CW
Line414	B	38.78	CW
Line414	C	37.75	CW
Line414	D	32.56	CW
Line416	A	83.54	CW
Line416	B	35.68	CW
Line416	C	44.72	CW
Line416	D	51.2	CW
Line417	A	55.9	CW
Line417	B	19.96	CW
Line417	C	43.02	CW
Line417	D	37.42	CW
Line425	A	54.32	CW
Line425	B	24.02	CW
Line425	C	31.02	CW
Line425	D	29.4	CW
Line426	A	54.74	CW
Line426	B	20.75	CW
Line426	C	22.74	CW
Line426	D	26.46	CW
Line429	A	51.24	CW
Line429	B	29.66	CW
Line429	C	26.96	CW
Line429	D	30.95	CW
Line431	A	56.06	CW
Line431	B	19.72	CW
Line431	C	33.42	CW
Line431	D	25.92	CW
Line436	A	65.24	CW
Line436	B	45.14	CW
Line436	C	29.1	CW
Line436	D	27.4	CW
Line441	A	55.2	CW
Line441	B	27.14	CW
Line441	C	26.22	CW
Line441	D	30.68	CW
Line444	A	49.12	CW
